Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$17.98,-0.18,-0.991%,36828776.00,United States,,104789,Finance,Real Estate
AAU,Almaden Minerals Ltd. Common Shares,$0.7199,0.0179,2.55%,87324053.00,Canada,2015,1101322,Basic Industries,Precious Metals
ACU,Acme United Corporation. Common Stock,$41.601,0.2561,0.619%,138902120.00,United States,1988,8706,Capital Goods,Industrial Machinery/Components
ACY,AeroCentury Corp. Common Stock,$9.00,0.23,2.623%,13912956.00,United States,,150606,Technology,Diversified Commercial Services
AE,Adams Resources & Energy Inc. Common Stock,$32.39,0.07,0.217%,137690376.00,United States,,5408,Energy,Oil Refining/Marketing
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$8.74,-0.11,-1.243%,443570540.00,United States,,46924,,
AGE,AgeX Therapeutics Inc. Common Stock,$1.95,-0.08,-3.941%,73497542.00,,2018,642068,Health Care,Major Pharmaceuticals
AIM,AIM ImmunoTech Inc. Common Stock,$2.28,0.05,2.242%,90493227.00,United States,,431696,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$8.45,0.16,1.93%,23966372.00,United States,2014,21499,Consumer Services,Professional Services
AIRI,Air Industries Group Common Stock,$1.53,0.02,1.325%,48546525.00,United States,,228165,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$2.51,0.01,0.40%,58270493.00,China,,288103,Consumer Services,Other Consumer Services
AMPE,Ampio Pharmaceuticals Inc.,$1.86,0.10,5.682%,363870178.00,United States,,3036201,Health Care,Major Pharmaceuticals
AMS,American Shared Hospital Services Common Stock,$2.67,-0.05,-1.838%,15381870.00,United States,,38658,Health Care,Medical Specialities
ANVS,Annovis Bio Inc. Common Stock,$29.35,0.97,3.418%,203891632.00,United States,2020,111429,Health Care,Major Pharmaceuticals
APT,Alpha Pro Tech Ltd. Common Stock,$10.40,-0.03,-0.288%,139566409.00,Canada,,462804,Health Care,Industrial Specialties
ARMP,Armata Pharmaceuticals Inc. Common Stock,$5.49,0.00,0.00%,113139968.00,United States,,14615,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$1.33,0.01,0.758%,132706395.00,Canada,,1134239,Basic Industries,Precious Metals
ASXC,Asensus Surgical Inc. Common Stock,$4.14,-0.06,-1.429%,930366393.00,United States,,14741219,,
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$9.18,0.57,6.62%,124724300.00,United States,,401201,Health Care,Major Pharmaceuticals
AUMN,Golden Minerals Company Common Stock,$0.714,0.004,0.563%,116003303.00,United States,,730558,Basic Industries,Precious Metals
AWX,Avalon Holdings Corporation Common Stock,$4.00,0.51,14.613%,15501724.00,United States,,201422,Public Utilities,Environmental Services
AXU,Alexco Resource Corp Common Shares (Canada),$2.48,-0.06,-2.362%,346614576.00,Canada,,948042,Basic Industries,Precious Metals
BATL,Battalion Oil Corporation Common Stock,$12.71,-0.04,-0.314%,206755565.00,,,59938,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$30.83,0.07,0.228%,164169473.00,United States,,14592,,
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$25.8799,0.0399,0.154%,,United States,,260,,
BDL,Flanigan's Enterprises Inc. Common Stock,$23.83,-0.65,-2.655%,44291558.00,United States,,445,Consumer Services,Restaurants
BDR,Blonder Tongue Laboratories Inc. Common Stock,$1.5399,0.0399,2.66%,17863883.00,United States,,544612,Technology,Radio And Television Broadcasting And Communications Equipment
BGI,Birks Group Inc. Common Stock,$4.01,-0.02,-0.496%,72063233.00,Canada,,1644565,Consumer Services,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$31.23,0.00,0.00%,466219085.00,United States,,18326,Finance,Major Banks
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,$8.11,0.08,0.996%,327042457.00,,2018,15230,Basic Industries,Agricultural Chemicals
BKTI,BK Technologies Corporation Common Stock,$5.00,0.02,0.402%,62559830.00,United States,,41401,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$11.94,0.05,0.421%,145671606.00,,2018,26676,Finance,Major Banks
BRBS,Blue Ridge Bankshares Inc. Common Stock,$21.50,0.25,1.176%,265446525.00,,,15596,Finance,Major Banks
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,$11.96,0.34,2.926%,274811259.00,,2014,172016,Consumer Services,Real Estate Investment Trusts
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,$25.875,-0.1149,-0.442%,,,,1795,,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),$25.90,0.0396,0.153%,,,,373,,
BRN,Barnwell Industries Inc. Common Stock,$3.04,-0.03,-0.977%,25162566.00,United States,,146904,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$4.51,-0.05,-1.096%,4743552731.00,Canada,,5684593,Basic Industries,Precious Metals
BTN,Ballantyne Strong Inc. Common Stock,$2.77,0.00,0.00%,50422786.00,United States,,138945,Miscellaneous,Industrial Machinery/Components
BWL/A,Bowl America Inc.,$11.22,0.17,1.538%,,United States,,2764,,
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$1.98,-0.04,-1.98%,30519684.00,Israel,,364952,Health Care,Major Pharmaceuticals
CCF,Chase Corporation Common Stock,$122.09,0.77,0.635%,1153309877.00,United States,,20100,Consumer Durables,Building Products
CDOR,Condor Hospitality Trust Inc. Common Stock,$5.00,-0.04,-0.794%,60075575.00,United States,,14331,Consumer Services,Real Estate Investment Trusts
CEI,Camber Energy Inc. Common Stock,$1.32,-0.03,-2.222%,33000000.00,United States,,4239820,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$37.32,0.09,0.242%,979291840.00,United States,,9044,,
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$13.16,0.02,0.152%,93877847.00,United States,1999,22367,,
CHAQ,Chardan Healthcare Acquisition 2 Corp. Common Stock,$10.05,0.00,0.00%,108321965.00,,2020,23916,Finance,Business Services
