Stock,Number of Mentions
GME,390
ET,55
A,54
AMC,129
PLTR,103
STEP,1
TSLA,95
FIX,2
T,11
M,6
Y,5
B,5
O,2
Z,2
BB,15
PM,9
ZOM,9
TEAM,3
J,23
PLUG,80
RKT,42
JD,2
FUTU,1
DD,36
BYND,1
GM,5
ABNB,2
CZR,2
SQ,10
CRSR,5
KO,3
DOW,10
DM,1
RH,24
MARA,4
RIOT,8
QS,3
PSA,1
K,4
ARE,9
SO,3
MSFT,7
BAC,3
GPRO,5
V,7
GOEV,29
TLRY,8
SOS,4
NIO,23
HOME,2
GSAT,1
GE,7
DB,3
PT,3
OPEN,3
TD,6
FOR,9
BIG,3
NKLA,2
FCEL,1
IRS,3
CO,1
SI,3
ON,13
FSR,3
DIS,32
BABA,13
AAPL,44
CAN,2
ALL,6
CC,4
SNDL,14
LOVE,2
KIDS,1
RBLX,27
NVDA,8
APHA,19
ATH,18
CCL,2
USA,2
U,17
SENS,13
AT,10
EOD,23
JP,5
TDA,4
JPM,2
GS,1
ST,2
OUT,1
PENN,9
MVIS,6
DKNG,7
NOK,16
BA,10
L,2
NNDM,1
BNGO,1
AM,5
VALE,1
HYLN,1
R,3
H,2
SUMO,1
RIDE,2
COST,1
SSP,1
WMT,1
QCOM,1
G,7
HUGE,9
WKHS,1
TECH,2
LOW,3
AMD,14
OR,13
REAL,1
TV,3
JMIA,1
E,6
PRT,1
SSPK,1
VFF,2
NYC,1
MGM,1
WFC,2
TSM,4
TNXP,2
F,19
ONE,2
DECK,1
UI,2
ENPH,1
RUN,2
X,8
GO,12
AREC,3
UWMC,21
BUD,1
FSD,2
JOE,1
ELSE,5
NET,2
HA,1
BE,3
SAFE,2
MC,1
DTE,1
BBW,4
TELL,1
NAV,1
MGNI,1
IMO,6
GOOD,2
JG,2
CASH,2
NOW,5
SNAP,2
POW,2
SKLZ,3
KMPH,1
XSPA,2
INTC,1
CRSP,1
NGL,1
LULU,1
FREE,3
MTLS,1
AMZN,5
TDOC,6
RIGL,1
MAN,2
BY,2
DASH,3
CPNG,1
CTRM,1
NAKD,1
OGI,4
FB,7
IT,4
TWO,2
ICE,1
GL,2
PSTH,1
BLNK,1
AAL,5
LUV,2
IPOE,2
LAC,1
EA,2
PTON,4
UK,3
EAT,1
GOOGL,1
RDFN,2
CARE,1
GRWG,1
VERY,1
BP,2
AEZS,2
PDD,1
KMI,2
FLY,2
ASO,4
TTWO,1
CTXR,2
LMND,3
TLSA,1
XPEV,1
SMAR,1
TMBR,8
SON,1
CLF,1
C,1
LMT,1
SKT,4
MIK,1
SIX,1
GNUS,3
FCT,1
VIAC,8
TOPS,2
GDP,1
OCGN,4
DGX,1
BAH,1
W,2
GAIN,1
CLSK,1
HALO,1
WWE,2
HE,1
DE,2
ALOT,1
SSY,6
MRO,1
ROOT,2
SPOT,1
MU,2
CCIV,1
SONO,1
RCL,2
NCLH,1
VYNE,1
FRX,1
ZNGA,5
IBM,1
JACK,1
COO,1
NICE,1
SAVA,10
NKE,1
FDX,1
ARTL,1
TUP,1
STLA,1
NXE,1
LPCN,1
APR,2
SNE,2
CLNE,4
UUUU,1
IEA,1
FSLY,1
PD,1
LEAP,1
AI,7
MRK,2
CRWD,2
AZN,1
CBD,1
NEXT,2
CELH,1
AMWL,1
ING,1
PS,1
AGE,1
WORK,1
PLBY,1
SPCE,1
MO,1
HAS,1
BIDU,1
BLUE,1
PLAY,1
HIMS,2
PDT,1
LODE,2
MGI,1
CAT,1
SVT,1
SBUX,1
MCD,1
APLE,1
TTD,1
STPK,1
STAY,1
