Stock,Number of Mentions
 TSLA ,144
 GME ,476
 FLY ,6
 IT ,12
 SO ,10
 NNDM ,3
 PT ,8
 HOPE ,3
 IP ,5
 AAPL ,48
 AMC ,145
 RIOT ,17
 OI ,3
 OPEN ,6
 HAS ,2
 RC ,1
 FOR ,23
 APHA ,58
 TLRY ,40
 IRS ,4
 GSAT ,1
 BJ ,1
 DASH ,6
 A ,68
 GO ,32
 ALL ,17
 AT ,11
 NIO ,53
 SENS ,4
 GE ,17
 AMD ,15
 CPNG ,14
 AI ,5
 LOVE ,11
 DD ,54
 ARE ,12
 RKT ,40
 CC ,5
 TD ,8
 BNGO ,2
 C ,11
 H ,5
 R ,7
 T ,13
 EOD ,36
 LULU ,1
 BB ,179
 J ,5
 NOK ,41
 MVIS ,40
 U ,14
 ERIC ,1
 MD ,2
 L ,7
 HEPA ,1
 JOBS ,1
 PM ,7
 TV ,3
 RSI ,6
 DARE ,1
 PLTR ,143
 REAL ,3
 BY ,11
 PRPL ,3
 NEXT ,5
 ON ,31
 OUT ,4
 QS ,2
 ULTA ,5
 PLUG ,9
 IMO ,5
 SQ ,9
 GMED ,1
 TECH ,3
 BRO ,2
 FB ,7
 ATH ,24
 KO ,2
 DOW ,6
 TDA ,9
 GOEV ,19
 BIG ,9
 CORE ,1
 MARA ,8
 RBLX ,25
 DISCK ,1
 GS ,1
 CLF ,5
 MT ,4
 DKNG ,34
 UK ,7
 SNDL ,36
 Z ,1
 X ,7
 NFLX ,3
 SOS ,3
 HUGE ,4
 HEP ,1
 RIDE ,33
 MSTR ,1
 UI ,2
 CCL ,2
 AAL ,6
 UPS ,1
 D ,6
 G ,3
 O ,7
 GDP ,5
 RH ,21
 CAN ,7
 NVDA ,2
 PSTH ,2
 GPRO ,5
 AMZN ,21
 FSR ,1
 UWMC ,20
 HR ,1
 FAT ,1
 B ,9
 LOW ,3
 BABA ,24
 JOAN ,2
 SPCE ,10
 TEN ,3
 NOC ,1
 NYC ,2
 BMBL ,2
 POSH ,2
 VISL ,1
 ET ,2
 BA ,41
 BE ,11
 BEST ,3
 W ,1
 NEW ,1
 OCGN ,7
 ONE ,5
 TWO ,3
 M ,4
 CRSP ,2
 ABNB ,3
 MSFT ,6
 COTY ,1
 DM ,3
 FINV ,3
 CIO ,1
 SAFE ,2
 CTVA ,1
 UNFI ,4
 KSU ,1
 F ,30
 AN ,2
 GF ,2
 GM ,8
 DIS ,13
 DTE ,3
 KOSS ,4
 NIU ,1
 CPA ,1
 SAVE ,1
 V ,10
 NVAX ,2
 MSM ,1
 ORCL ,3
 LUMN ,4
 POWW ,1
 GNUS ,2
 CASH ,1
 NKLA ,5
 NGA ,1
 OEG ,1
 EC ,1
 LPL ,1
 CBRL ,1
 IRL ,1
 REVG ,1
 DT ,1
 AZN ,1
 E ,7
 EYES ,2
 LB ,1
 BIO ,1
 VIAC ,15
 WOOF ,2
 CHWY ,1
 PINS ,1
 BILL ,1
 PRTY ,2
 BNTX ,1
 SWKS ,4
 MGNI ,2
 PENN ,4
 VFF ,1
 OR ,8
 TELL ,2
 RVP ,1
 DISCA ,4
 ZOM ,7
 DE ,2
 FUBO ,3
 NOW ,9
 VSAT ,1
 FREE ,2
 VERY ,3
 JD ,9
 SNAP ,4
 SHIP ,3
 TEAM ,2
 EXPI ,1
 OXY ,1
 SFT ,1
 SBUX ,1
 ICE ,1
 CCIV ,1
 AM ,4
 ENTX ,3
 EBON ,5
 KEYS ,1
 TX ,1
 TRCH ,1
 PDT ,2
 PLBY ,1
 FNKO ,2
 BCC ,1
 LPX ,1
 NH ,1
 MA ,5
 MILE ,3
 GOOD ,2
 IQ ,1
 EXTN ,1
 ELY ,1
 STAY ,1
 SUMO ,1
 XL ,4
 CNTY ,1
 CRSR ,8
 ACAD ,2
 ELSE ,1
 SEE ,3
 RVNC ,1
 LL ,2
 OGI ,10
 SEEL ,2
 ETSY ,1
 ZM ,2
 LMND ,2
 ATCO ,1
 AUY ,2
 KIDS ,1
 BAC ,4
 TURN ,1
 BBBY ,1
 ANY ,1
 CD ,2
 LUV ,1
 LH ,1
 GNCA ,1
 WKHS ,2
 TER ,1
 VRM ,1
 VLDR ,1
 WMT ,10
 XONE ,1
 CSIQ ,1
 SOL ,1
 HOME ,2
 REGN ,1
 IBKR ,1
 NBA ,1
 TC ,1
 CRM ,1
 MAR ,1
 CHI ,1
 COST ,1
 HYFM ,1
 USA ,4
 CCI ,1
 BEP ,2
 PLAY ,1
 PAYA ,1
 NET ,1
 SNOW ,3
 AR ,2
 JAN ,1
 LAZR ,1
 ASRT ,1
 APPH ,1
 MIND ,1
 JACK ,1
 VUZI ,2
 CP ,1
 STRS ,2
 EDU ,1
 TAL ,1
 FDX ,1
 PEP ,2
 MRNA ,1
 APPS ,1
 CIA ,1
 ID ,1
 SV ,1
 MDB ,2
 UPST ,2
 GNOG ,1
 STEP ,1
 TRIP ,1
 LLY ,1
 LEG ,1
 AA ,1
 CVX ,2
 HYLN ,1
 RUN ,1
 HPQ ,2
 MC ,1
 SDC ,1
 JPM ,2
 LSPD ,1
 PG ,1
 FUN ,1
 EDIT ,1
 NTLA ,1
 TMBR ,1
 ROOT ,1
 JBLU ,1
 PTON ,2
 FCEL ,1
 ROKU ,1
 TSM ,2
 UMC ,2
 VMW ,1
 PYPL ,1
 VG ,1
 UBER ,1
 PFE ,1
 SAVA ,1
 Y ,1
 XPEV ,2
 CTRM ,1
 PPT ,1
 POST ,1
 KBNT ,1
 TFSA ,1
 ROCK ,1
 COO ,1
 TR ,1
 ROLL ,1
 LC ,1
 MO ,1
 AGI ,1
 ZNGA ,1
 DS ,1
 FCX ,1
 SF ,1
 DNN ,1
 HIMS ,1
 CAT ,1
 SE ,1
 TA ,1
 MU ,2
 SI ,1
 SP ,1
 BOOM ,1
 SD ,1
